img_no,deeplift,gradcam,lime,shap
1,0.010242010656089704,0.019979336296907218,0.10828764234500211,0.10464276178892892
2,0.0018435710775871713,0.008877177656174169,0.04710753172976117,0.012361553772243763
3,0.00314046293527967,0.0050008134329786146,0.07101749537162616,0.013148143629378493
4,0.007308796847843874,0.01021955407870852,0.11641172035357158,0.03332172922042827
5,0.012456267297177753,0.006473278310817552,0.01776837179872635,0.015188608392983695
6,0.018351565560760046,0.03752885906424202,0.012706319166200462,0.09373771501442177
7,0.02394282290219257,0.022828422727466657,0.17655702883550078,0.06294219900800135
8,0.008081663180102285,0.01121613626194659,0.13166191793185053,0.05392706351026265
9,0.010009594822261363,0.0001626294014069986,0.02805160356990535,0.025707109758446305
10,0.004955390653852893,0.006590149629816049,0.08401860615165027,0.019422635270410677
11,0.022681576855670658,0.02893225924953249,0.020803670772955824,0.08016707606531916
12,0.02122591888259701,0.009977043376249425,0.07177308057633221,0.03544001689040195
13,0.012670823215548554,0.01487694697118247,0.07771487511635558,0.025323812581937537
14,0.001167222901067904,0.014652341459844669,0.07344971924767087,0.04162589247301495
15,0.027899702030408695,0.03158454813508906,0.1577908982260927,0.07732856027420118
16,0.021816052423007246,0.008922823403301841,0.09118191889775867,0.012887334271495935
17,0.007405534323173362,0.0,0.03517433139233688,0.027097429991646133
18,0.027066449995039932,0.03464502369126065,0.06832334389039506,0.059925555428193646
19,0.007787932611497327,0.006050711679751764,0.07866039822174162,0.06135158650382032
20,0.028733746325836283,0.0065459969656269925,0.06365822413716965,0.014145914212821032
21,0.026844773699102677,0.022900744134618466,0.1312656891567135,0.07529521046381203
22,0.02228321099908105,0.018060894935072288,0.027509318742322042,0.0707957256252259
23,0.004599207678827895,0.008585050325199529,0.1403479142036818,0.040265691980129234
24,0.004487518279250174,0.012338971885251793,0.04628783358683331,0.0768227051644424
25,0.03530122086541043,0.04290493824852213,0.04825847894215548,0.07557694488766915
26,0.009399228742117766,0.015531206835258743,0.1300932915218191,0.024344304155645136
27,0.011824197212071232,0.0034021369019921655,0.14267633036797647,0.046782340218076576
28,0.009933407382595731,0.0020491684137683938,0.09975973357478968,0.01949512343851668
29,0.017007423276733446,0.012388201576209935,0.08737481350626944,0.010788816767167744
30,0.003492789419383723,0.006865292581142614,0.030118141585275305,0.020035518432833323
31,0.03421577157230834,0.010188314198977573,0.1851364462233101,0.09383315188674393
32,0.015175643518038406,0.009692489139801143,0.05079314005527816,0.03140045086393116
33,0.04236379610437925,0.022495503986583038,0.1777129115802457,0.08341449323907951
34,0.016872285458403097,0.0006326957872023597,0.06249644087317823,0.040621082425964586
35,0.012752118694411162,0.007777959534925749,0.0522901860472464,0.03293669304090373
36,0.016317621403743994,0.00739137535196772,0.020556730743895725,0.03627375232493408
37,0.03443853291473699,0.017356139230492153,0.11093876876302058,0.0569041730816757
38,0.00021674497322583518,0.029679897109568858,0.019999887016038772,0.0693105687695505
39,0.019169806077504056,0.00472426914757714,0.07867586506024181,0.020359870783605846
40,0.017506987588710114,0.008850919085894316,0.02567982444350919,0.05327810647766209
41,0.019608519549324348,0.004914579995932217,0.08322431377786652,0.02779518092083666
42,0.033797556300182156,0.011837897779923128,0.23536544942100907,0.11124926674461146
43,0.017292963331988993,0.012436601718860182,0.06002162395540119,0.06939756726644483
44,0.007501568723659661,0.005645754084240791,0.12107734518400749,0.022858844628629645
45,0.02339903686373865,0.009903359082835626,0.05671040291955327,0.03444302726273986
46,0.021456105811772496,0.0020404204487839517,0.11246051872070219,0.06686397775731628
47,0.006255223591185642,0.0012025717532995975,,0.047263508375993975
48,0.016792135967248517,0.005168969178849302,0.0573706213827403,0.016990922633384427
49,0.026159577955992917,0.009014139359414816,0.009726587984105332,0.061987210446064735
50,0.005623714016679669,0.008385386966865511,0.08048066211561625,0.041234365115655085
51,0.012513238565309875,0.012790733177202652,0.037013399804377484,0.04295008708859198
52,0.02300356699142328,0.007766925298894066,0.13591189793728897,0.06073235194362481
53,0.01633338903403546,0.01701788165867537,0.009468676159200742,0.02478754983780097
54,0.01770428241000054,0.006688695307622785,0.09389684815941747,0.11888910495063298
55,0.01729367771770784,0.011309454471947086,0.12566597535396873,0.029038978559541503
56,0.011206087433780178,0.014850014889924794,0.056945799513707186,0.028159352255161054
57,0.02355840545405908,0.0025802609597308317,0.12241939052331224,0.022319407851382957
58,0.051023087517286195,0.039181073169995105,0.05358167691690461,0.11004488195976335
59,0.005811565508802543,0.01865348826570572,0.023229724788398555,0.027983913943759237
60,0.023664060186784446,0.011980028791680725,0.046265154477903796,0.05133223325952595
61,0.03726455943116175,0.012259601020926294,0.07887819831225647,0.0360414073607561
62,0.023385293278342524,0.005968004729694654,0.047475354972435116,0.02983052183972132
63,0.03088186130922058,0.010465796843532047,0.07552656687513218,0.033512895115995506
64,0.027866276655030282,0.010590339736685009,0.10076884669220444,0.06575520691493066
65,0.026816371805589857,0.013142025837262938,0.06553725092198441,0.08260274442946929
66,0.02486995571713242,0.003158859651664208,0.13426149903097792,0.007802255858470723
67,0.015215502279583756,0.00357124308003126,0.04449529621154335,0.019286739744075555
68,0.01572250606700054,0.0080743108605674,0.06983939327155222,0.02779265374050904
69,0.030085427046167863,0.014571035435392475,0.07243589242067115,0.052863456471665696
70,0.027103936717220493,0.014062108514592511,0.1667586601259371,0.030532497817080746
71,0.005147272243130799,0.005113843263867678,0.06030207751179746,0.036051467627611966
72,0.007366805937804109,0.011613809294024445,0.11734043210845306,0.04580239794734077
73,0.017092407001530814,0.015225755176254909,0.07224323106272007,0.051763364120840705
74,0.015346427959539893,0.009622212582525188,0.07261914891022676,0.028369430871555006
75,0.0392603999944536,0.008192243204824349,0.15375756379161393,0.011064579476336312
76,0.014800173658835576,0.002240307334382834,0.04255540482352628,0.02118901564853589
77,0.00042788106774353595,0.006928716501576441,0.02032391371000651,0.012866155671651098
78,0.00646028443033122,0.009139623371644796,0.054241543340380546,0.04838191919833262
79,0.002306048041980948,0.0045357396211286255,0.12469041596305327,0.02629388944045222
80,0.014512525159535331,0.0030477585648874643,0.06889161210804069,0.012514020892358585
81,0.01562276211117334,0.0012577518845519964,0.1815929203539823,0.022585597092949803
82,0.023427517533276803,0.0074202238042071905,0.12471594944623582,0.02089615455745765
83,0.014507837441502785,0.0061118049280984065,0.06799104258190748,0.02830864739526457
84,0.02281801343756106,0.002665202133660986,0.032712438342229304,0.044655272893930474
85,0.0032252856628118545,0.008050733996975807,0.002574002574002574,0.04344937026116427
86,8.308225256803544e-05,0.012114205659387454,0.07724913102616845,0.03242219589045108
87,0.019221499121494647,0.004703212643695589,0.08766485647788984,0.0212711501336288
88,0.013165100609808236,0.011827633399796691,0.09998907850575862,0.0653940688030928
89,0.018906065625413637,0.007246772328172206,0.05249269068960417,0.0317665364170135
90,0.016367439969941132,0.015100313486965949,0.1256591641507042,0.0712150720435219
91,0.01244723250338137,0.0034232003715745393,0.13127605608591064,0.017871691740419395
92,0.014018167270875832,0.0111509321514676,0.036144570950526846,0.019835804621161048
93,0.01352851784745744,0.00681136450024191,0.06419443232354924,0.01859848787965452
94,0.018857802929866073,0.01104604987879514,0.09896060912545239,0.031127288899264378
95,0.007948654146263263,0.0018958195670890528,0.040876399049801435,0.017979856035613962
96,0.014958569279094515,0.013441022176861822,0.11851706982757197,0.060690031765587474
