img_no,deeplift,gradcam,lime,shap
1,0.13570239948467444,0.18389879240943072,0.17043332088158386,0.2726227434747614
2,0.03330358850149786,0.08736673271063307,0.03142766180015464,0.11535550509772495
3,0.10991235935556648,0.0470129398959971,0.056780811585457835,0.10515544587233275
4,0.18701826788857195,0.11547794263892755,0.17598343685300208,0.20179863147605084
5,0.1830676452713758,0.11346785997072725,0.011479957906821008,0.12459306779011872
6,0.17374480023217567,0.30792060842144314,0.060181368507831824,0.19012840146071386
7,0.23360331512525895,0.19124154629706933,0.011927102881688145,0.26546962438101374
8,0.15676278957528958,0.13224471021159154,0.14136025178475475,0.1977846981385802
9,0.15075313543833113,0.012922738520758868,0.0025284450063211127,0.155892928485817
10,0.16068990442534736,0.11717699026202187,0.0003820785070785071,0.14966355327910014
11,0.2559287310653092,0.2794559820991539,0.06857080163838503,0.24889938110125695
12,0.2613039839728146,0.11683298319327733,0.05530462184873949,0.18098480880041906
13,0.21405003767114392,0.1581650394543266,0.06018196414236018,0.2209694718392759
14,0.05031415179016655,0.12169189578828135,0.1042375502629137,0.22129493535288108
15,0.2693412162162162,0.331046090108752,0.08324855883350288,0.2810744810744811
16,0.23897823126000625,0.12191589378732055,0.05074480696871296,0.14223505235345923
17,0.06920571285392133,0.00036308183864643085,0.005217391304347826,0.11378661976102383
18,0.11246773873337304,0.2341343191620456,0.1937211724445767,0.2437098501070664
19,0.2520965821277458,0.1126987785203964,0.12783951508154134,0.2211043915672865
20,0.28598722189124226,0.06452209660842755,0.028390388413429887,0.14262846823181743
21,0.2049054675523761,0.18990265632733871,0.11120689655172414,0.20739219712525667
22,0.2337060467853465,0.16488633251164064,0.06477656778069846,0.2700264812975836
23,0.080301685891748,0.15209019367081542,0.24916313322918995,0.2887706401887103
24,0.2282845455028423,0.10891973054135216,0.07390240091661893,0.19429396894185627
25,0.29452369995398064,0.3304878048780488,0.16900139264356515,0.2875599252457951
26,0.1363398863562145,0.1395972126502795,0.14280552142805522,0.1694661921708185
27,0.2159386683072264,0.1519170753455194,0.1906497000952969,0.15967934134979958
28,0.2349626195832481,0.03384778891918118,0.08582193047337278,0.1415963869302733
29,0.19834935606747686,0.1759922488667428,0.09299830408749524,0.15433482810164426
30,0.0694420377750823,0.15338622513510405,0.11577525391504476,0.15657725519015248
31,0.21814590939014905,0.27226542249870395,0.24935333678220384,0.2088883027825399
32,0.24161759118541035,0.12586549169612166,0.0022931255547884405,0.1990582926649827
33,0.26903553299492383,0.2910694597574421,0.2606566297841465,0.2667896111879514
34,0.12734636153252765,0.024977520231791388,0.04762316335350043,0.16858480831812048
35,0.17124305539678547,0.08618062609659248,0.06942202131094607,0.1741743816498549
36,0.19350416936374368,0.14788325707431926,0.04634361233480176,0.17890894341918476
37,0.305390261912001,0.14907672301690508,0.10962169942872567,0.23154612305687425
38,0.041203919738684085,0.3264012997562957,0.012049428293083116,0.21222927720274853
39,0.2201241193489256,0.06996324757768126,0.01932088209820338,0.17505733318772523
40,0.18874760732841125,0.0871569703622393,0.06290740595303541,0.23637493955930097
41,0.2898658550332544,0.07115568290353391,0.09766149127851256,0.1807418734505688
42,0.2702702702702703,0.14580442224072532,0.3482699943278503,0.3094142259414226
43,0.22189188209274505,0.11021728313153094,0.10716211172396632,0.1905310827501029
44,0.10836606923643506,0.06325711293419445,0.15477811528927066,0.1762869456038549
45,0.2680265360530721,0.10054896516910652,0.019811975518960183,0.22423556058890148
46,0.20538299926182504,0.04142303628038042,0.12104244435227428,0.215679766330324
47,0.10048022887503832,0.022909671607566948,0.0018633413190818442,0.1986876426475383
48,0.2219337319263477,0.11965144377456124,0.08994605677463448,0.1409079873755766
49,0.22395248784137672,0.09269459745173317,0.0659076923076923,0.27690623859905145
50,0.18377438671045007,0.1188312206011321,0.0003575578796817735,0.19087962280830997
51,0.1850317167996726,0.11170438686972878,0.01922260627008672,0.1608424245959979
52,0.2450592885375494,0.14606111578357162,0.20889903480315591,0.2122883774015598
53,0.12874437910757525,0.21995209243342256,0.013289937618660158,0.11689125665935444
54,0.22284349937758915,0.1686284909932883,0.1813950627409169,0.2781680075141912
55,0.2183157999206034,0.1145628556647698,0.0564803645623911,0.19874121856310886
56,0.19594026504384032,0.1254625832649877,0.10608183856502244,0.1878101488714583
