img_no,deeplift,gradcam,lime,shap
1,0.010242854495818332,0.01997932866941956,0.07385157513780324,0.016904793388802814
2,0.0018435673315669433,0.008877176915635995,0.0329302257560859,0.004763133373404546
3,0.002661020057479895,0.005000812510216819,0.04896693968144072,0.002977556234004941
4,0.007308794643612878,0.010219552863691674,0.09593090374721028,0.006079270041796041
5,0.012455836450436237,0.006473267239282896,0.047296738398820634,0.002505884445663554
6,0.018351564435480614,0.03752885041413484,0.06247563631199321,0.021360084048383205
7,0.02394284285728881,0.02282842529143037,0.11530059282547113,0.02173321280712945
8,0.008081662651988588,0.01121613743299717,0.09136714655924763,0.012670170144782422
9,0.010009579406851741,0.00016262939006237643,0.010037394213737451,0.005137266102030321
10,0.004955391880591573,0.006590138590942888,0.0009652315550282533,0.005955093469720213
11,0.022681391773184442,0.028932474874814124,0.060036961041068565,0.023351046984488304
12,0.021225917289863096,0.009977047383284369,0.0610771310094797,0.011597924220881283
13,0.012670850775315249,0.01487694370482497,0.049968239629522286,0.008637348945917306
14,0.0013167479085190016,0.014652346178571312,0.06083447165773659,0.011761624534958593
15,0.02789970203040869,0.031584556286151595,0.06511403239367655,0.017062935937059532
16,0.02181850152114839,0.008922824188643156,0.055900566332301366,0.0055624413985952085
17,0.00740552593807153,0.0,0.00025462570022067563,0.005023161066253956
18,0.027066456145917312,0.034645017191244014,0.15793724121909544,0.023059100884454734
19,0.007787947709243761,0.0060507147626023255,0.06225098663020578,0.013416931396482637
20,0.028733804086229376,0.0065459925710856974,0.04183843406489272,0.007583268545315014
21,0.026844782812908297,0.022900751955627727,0.08865489130434782,0.02715197679618635
22,0.022283213756112228,0.0180608992430308,0.025513819985825654,0.02472609588783168
23,0.004599194551502009,0.008585050325199529,0.14026846805489165,0.010358259285010437
24,0.004487519102847576,0.012338939683261888,0.048182322353531835,0.011091668577376926
25,0.035301213443820416,0.04290494823627475,0.10299057763211797,0.01694369918640886
26,0.009448729468283495,0.01553122250260396,0.0547368516478294,0.00805200952368836
27,0.0118242013463481,0.003402132203036967,0.13699837019641078,0.0047902934896669625
28,0.009933394031287058,0.0020491700005809,0.05547917091041548,0.006818250578121323
29,0.017007378866975627,0.012388201576209935,0.07114247543407984,0.003494513805103874
30,0.0034927898119432557,0.006865293032773143,0.05882616278187204,0.00737198482562355
