img_no,deeplift,gradcam,lime,shap
1,0.13538411809072298,0.18389879240943072,0.1824019936739193,0.468107476635514
2,0.03330358850149786,0.08736673271063307,0.05733229329173167,0.2480131890429489
3,0.12110118189680025,0.0470129398959971,0.050025661926757836,0.2211339743013748
4,0.18701826788857195,0.11547794263892755,0.14804814071902486,0.3843641951594314
5,0.18305282842449744,0.11346785997072725,0.03071622670807454,0.2430820215410108
6,0.17385835913312694,0.30792060842144314,0.05243161094224924,0.2987822418256784
7,0.23360331512525898,0.19124154629706935,0.0002932182800653458,0.412969707002152
8,0.15677224736048265,0.13224471021159154,0.0907660423702794,0.3401205891074429
9,0.15075313543833113,0.012922738520758868,0.0,0.2623891098195167
10,0.1606698257168099,0.11717699026202187,0.018460424710424708,0.2762418746489046
11,0.2559287310653092,0.2794559820991539,0.07718464351005484,0.4800024111636879
12,0.2613039839728146,0.11683298319327733,0.06213235294117647,0.3393550078657577
13,0.21407601777038787,0.1581650394543266,0.04222638480064223,0.3822393822393823
14,0.048686803182600456,0.12166615178663373,0.12207805450049708,0.3836053412462908
15,0.2697811447811448,0.331046090108752,0.09484484484484483,0.3754305396096441
16,0.23894862604540024,0.12191589378732055,0.08520398958789722,0.3146828884674099
17,0.06920571285392133,0.00036308183864643085,8.866820358219544e-05,0.17275185936443546
18,0.1124733210899886,0.2341343191620456,0.1373679154658982,0.4575435936315391
19,0.2521219184676581,0.1126987785203964,0.036628662144609615,0.3875623713810504
20,0.2860077654744541,0.06452209660842755,0.03007735352205398,0.19862394742246867
21,0.2049054675523761,0.18990265632733871,0.08615277293337982,0.2639078979148217
22,0.2337232399028912,0.16488633251164064,0.07159331155102826,0.4251487868151991
23,0.080301685891748,0.15209019367081542,0.2326297273526825,0.5404848419111665
24,0.2304526748971193,0.10891973054135216,0.048457792207792214,0.2493754197447952
25,0.29452369995398064,0.3304878048780488,0.17392728463806092,0.4663882419082804
26,0.1362626592616792,0.1395972126502795,0.08131454678081929,0.2538380191809795
27,0.2159386683072264,0.1519170753455194,0.13351378224603658,0.34251272991790505
28,0.23493989592564815,0.03384778891918118,0.10390000462085856,0.2053748101790069
29,0.1983795876413326,0.1759922488667428,0.0899525836707853,0.2819793953724033
30,0.0694420377750823,0.15338622513510405,0.09554646671211088,0.2290234375
31,0.2182057573762643,0.27226542249870395,0.22035270829584308,0.335392650149672
32,0.24161759118541035,0.12586549169612166,0.00024662128834961034,0.35855833842394624
33,0.26903553299492383,0.2910694597574421,0.2571378525135751,0.4788615639679469
34,0.12735454837672774,0.024977520231791388,0.018311934329614817,0.21714963777167126
35,0.17126200274348422,0.08618062609659248,0.06500876626372612,0.2800615469410252
36,0.19350416936374368,0.14788325707431926,0.059715429079590925,0.33725550711778096
37,0.3053468270859575,0.14907672301690508,0.10544515877654394,0.3749068758490731
38,0.03034923054933537,0.3264012997562957,0.0005547850208044383,0.3453490148159462
39,0.2201241193489256,0.06996324757768126,0.03549277121730493,0.2998887557761424
40,0.18874760732841125,0.0871569703622393,0.0022187525680006574,0.3380936783491648
41,0.2898658550332544,0.07115568290353391,0.006228589224540642,0.3274138324583428
42,0.27029201190571955,0.14580442224072532,0.029299363057324838,0.35993560257589696
43,0.2219926038720905,0.11021728313153094,0.10827840650002073,0.2851275311126628
44,0.10830468941811933,0.06325711293419445,0.03168130489335006,0.3263136511375948
45,0.2681505363010726,0.10054896516910652,0.024570565657836784,0.33500281725411635
46,0.20513986809188084,0.04142303628038042,0.07766652154984763,0.3274294205052006
47,0.09032192130812468,0.022909671607566948,0.019854265596856067,0.4574639815973203
48,0.22190991162668827,0.11965144377456124,0.059996582782103534,0.2538734862584903
49,0.22401534287585367,0.09248233264704246,0.03186943620178041,0.43812208733674696
50,0.16647671448221654,0.1188312206011321,8.915437079302812e-05,0.3107322743122821
51,0.1850317167996726,0.11170438686972878,0.015876848777543008,0.2771847708202523
52,0.2450592885375494,0.14606111578357162,0.14855508729680916,0.3587743102668476
53,0.1288135593220339,0.21995209243342256,0.0,0.2607940231083312
54,0.222884313205314,0.1686284909932883,0.12069212948725835,0.5720917866492147
55,0.21664182811723795,0.1145628556647698,0.03423133628199973,0.35514930546640305
56,0.19596028346078392,0.1254625832649877,0.13332799487508007,0.3114240063910525
57,0.27435254803675857,0.060929737402413066,0.04244144783534422,0.22313670081243375
58,0.3199733688415446,0.3937324226597027,0.2531887755102041,0.4748189863234111
59,0.17928156452008834,0.15098850574712644,0.017761409724488367,0.26245494213621706
60,0.2087490406753645,0.14159132820582018,0.10472334682860998,0.3855336457688567
61,0.2999913359902963,0.13264061920161166,0.02027951524628616,0.3428130723994987
62,0.20591639525181016,0.09018722835172184,0.015897634742148118,0.2758405301178643
63,0.3414452382176081,0.13905891870028314,0.07038630855220854,0.3307470843702728
64,0.2909301093396272,0.09329494490891978,0.1411929673174415,0.32783212197387834
65,0.11411371237458195,0.05490512716996367,0.032317636195752536,0.23920265780730895
66,0.2367214208288168,0.06761853448275862,0.06883081896551724,0.15826766439308654
67,0.2026304334307568,0.09972686273264307,0.07624586829392321,0.22627391551430195
